name,meeting_date,calendar_link,meeting_time,meeting_location,meeting_details,agenda,minutes,video,eComment
"Rules & Legislation Committee", "9/20/2018", "https://oakland.legistar.com/View.ashx?M=IC&ID=631674&GUID=931B659B-7C53-4A90-A1D3-192666F79689", "10:45 AM", "City Council Chamber, 3rd Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=631674&GUID=931B659B-7C53-4A90-A1D3-192666F79689&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=631674&GUID=931B659B-7C53-4A90-A1D3-192666F79689", "https://oakland.legistar.com/View.ashx?M=M&ID=631674&GUID=931B659B-7C53-4A90-A1D3-192666F79689", "https://oakland.legistar.com/Video.aspx?Mode=Granicus&ID1=2858&Mode2=Video", "None"
"Special Concurrent Meeting of the Oakland Redevelopment Successor Agency/City Council", "9/17/2018", "https://oakland.legistar.com/View.ashx?M=IC&ID=631672&GUID=1CB6CA6C-DF08-40E7-86B0-92F0154A0297", "5:30 PM", "City Council Chamber, 3rd Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=631672&GUID=1CB6CA6C-DF08-40E7-86B0-92F0154A0297&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=631672&GUID=1CB6CA6C-DF08-40E7-86B0-92F0154A0297", "https://oakland.legistar.com/View.ashx?M=M&ID=631672&GUID=1CB6CA6C-DF08-40E7-86B0-92F0154A0297", "https://oakland.legistar.com/Video.aspx?Mode=Granicus&ID1=2855&Mode2=Video", "None"
"Rules & Legislation Committee", "9/13/2018", "https://oakland.legistar.com/View.ashx?M=IC&ID=630791&GUID=3C8DA59F-D869-4856-926F-170EFC483673", "10:45 AM", "City Council Chamber, 3rd Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=630791&GUID=3C8DA59F-D869-4856-926F-170EFC483673&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=630791&GUID=3C8DA59F-D869-4856-926F-170EFC483673", "https://oakland.legistar.com/View.ashx?M=M&ID=630791&GUID=3C8DA59F-D869-4856-926F-170EFC483673", "https://oakland.legistar.com/Video.aspx?Mode=Granicus&ID1=2852&Mode2=Video", "None"
"Public Safety Committee", "9/11/2018", "https://oakland.legistar.com/View.ashx?M=IC&ID=624870&GUID=F2AD2A75-22CF-4F2C-9E4F-47E3787EF1A7", "6:00 PM", "City Council Chamber, 3rd Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=624870&GUID=F2AD2A75-22CF-4F2C-9E4F-47E3787EF1A7&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=624870&GUID=F2AD2A75-22CF-4F2C-9E4F-47E3787EF1A7", "https://oakland.legistar.com/View.ashx?M=M&ID=624870&GUID=F2AD2A75-22CF-4F2C-9E4F-47E3787EF1A7", "https://oakland.legistar.com/Video.aspx?Mode=Granicus&ID1=2850&Mode2=Video", "None"
"Life Enrichment Committee", "9/11/2018", "https://oakland.legistar.com/View.ashx?M=IC&ID=630790&GUID=253E8DA4-309E-4A8C-B874-A0625376FA7A", "4:00 PM", "Sgt. Mark Dunakin Room - 1st Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=630790&GUID=253E8DA4-309E-4A8C-B874-A0625376FA7A&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=630790&GUID=253E8DA4-309E-4A8C-B874-A0625376FA7A", "https://oakland.legistar.com/View.ashx?M=M&ID=630790&GUID=253E8DA4-309E-4A8C-B874-A0625376FA7A", "https://oakland.legistar.com/Video.aspx?Mode=Granicus&ID1=2849&Mode2=Video", "None"
"Community & Economic Development Committee", "9/11/2018", "https://oakland.legistar.com/View.ashx?M=IC&ID=624869&GUID=439D83EC-2E2A-4E98-9A4E-2203D8DF4D67", "1:30 PM", "Sgt. Mark Dunakin Room - 1st Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=624869&GUID=439D83EC-2E2A-4E98-9A4E-2203D8DF4D67&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=624869&GUID=439D83EC-2E2A-4E98-9A4E-2203D8DF4D67", "https://oakland.legistar.com/View.ashx?M=M&ID=624869&GUID=439D83EC-2E2A-4E98-9A4E-2203D8DF4D67", "https://oakland.legistar.com/Video.aspx?Mode=Granicus&ID1=2848&Mode2=Video", "None"
"Public Works Committee", "9/11/2018", "https://oakland.legistar.com/View.ashx?M=IC&ID=630789&GUID=FDC92E87-1AC0-4FB3-813F-DCB09EE775BE", "11:30 AM", "Sgt. Mark Dunakin Room - 1st Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=630789&GUID=FDC92E87-1AC0-4FB3-813F-DCB09EE775BE&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=630789&GUID=FDC92E87-1AC0-4FB3-813F-DCB09EE775BE", "https://oakland.legistar.com/View.ashx?M=M&ID=630789&GUID=FDC92E87-1AC0-4FB3-813F-DCB09EE775BE", "https://oakland.legistar.com/Video.aspx?Mode=Granicus&ID1=2847&Mode2=Video", "None"
"Finance & Management Committee", "9/11/2018", "https://oakland.legistar.com/View.ashx?M=IC&ID=624868&GUID=83BE38C3-2B59-4F8A-B95D-7A2EE0CC2491", "9:30 AM", "Sgt. Mark Dunakin Room - 1st Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=624868&GUID=83BE38C3-2B59-4F8A-B95D-7A2EE0CC2491&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=624868&GUID=83BE38C3-2B59-4F8A-B95D-7A2EE0CC2491", "https://oakland.legistar.com/View.ashx?M=M&ID=624868&GUID=83BE38C3-2B59-4F8A-B95D-7A2EE0CC2491", "https://oakland.legistar.com/Video.aspx?Mode=Granicus&ID1=2846&Mode2=Video", "None"
"Office of the Mayor Annual Recess Agenda", "8/21/2018", "https://oakland.legistar.com/View.ashx?M=IC&ID=621352&GUID=736062FF-F72A-4792-ACE9-04B45CC1BA6B", "8:30 AM", "Oakland City Hall - 3rd Floor THIS IS NOT AN ACTUAL MEETING OF THE OAKLAND CITY COUNCIL. THIS AGENDA SERVES AS NOTICE OF ACTIONS TAKEN WITHIN THE MAYOR'S AUTHORITY DURING THE AUGUST RECESS PERIOD.", "https://oakland.legistar.com/MeetingDetail.aspx?ID=621352&GUID=736062FF-F72A-4792-ACE9-04B45CC1BA6B&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=621352&GUID=736062FF-F72A-4792-ACE9-04B45CC1BA6B", "https://oakland.legistar.com/View.ashx?M=M&ID=621352&GUID=736062FF-F72A-4792-ACE9-04B45CC1BA6B", "None", "None"
"Rules and Legislation Committee - CANCELLED", "7/26/2018", "https://oakland.legistar.com/View.ashx?M=IC&ID=613995&GUID=C43B8BE8-8051-47EE-8391-2B47B33AE98F", "10:45 AM", "City Council Chamber, 3rd Floor THE RULES AND LEGISLATION COMMITTEE MEETING HAS BEEN CANCELLED. THE NEXT REGULARLY SCHEDULED MEETING WILL BE HELD TBD.", "https://oakland.legistar.com/MeetingDetail.aspx?ID=613995&GUID=C43B8BE8-8051-47EE-8391-2B47B33AE98F&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=613995&GUID=C43B8BE8-8051-47EE-8391-2B47B33AE98F", "None", "None", "None"
